"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","282.87","287.10","287.45","282.50","158.00K","-1.55%"
"06/23/2026","287.33","295.89","295.89","286.11","307.57K","-2.91%"
"06/22/2026","295.95","299.20","302.00","295.00","190.14K","-0.49%"
"06/21/2026","297.40","299.01","299.99","294.99","203.79K","-0.36%"
"06/17/2026","298.46","300.06","300.85","298.12","113.77K","-0.18%"
"06/16/2026","299.00","299.00","303.00","298.10","118.40K","0.00%"
"06/15/2026","299.00","314.00","314.99","297.10","463.02K","-4.54%"
"06/14/2026","313.21","311.00","314.89","311.00","124.77K","1.84%"
"06/11/2026","307.55","311.00","312.95","305.01","182.14K","-1.11%"
"06/10/2026","311.00","317.00","318.05","308.87","260.92K","-1.75%"
"06/09/2026","316.55","320.00","323.00","316.50","182.51K","-0.92%"
"06/08/2026","319.50","325.95","325.95","318.00","151.65K","-1.99%"
"06/07/2026","325.98","326.00","327.00","323.00","77.39K","-0.22%"
"06/04/2026","326.70","327.00","329.00","326.00","89.22K","0.02%"
"06/03/2026","326.65","331.50","332.50","326.00","167.69K","-0.44%"
"06/02/2026","328.11","331.00","334.90","328.00","429.06K","0.02%"
"06/01/2026","328.06","325.01","331.79","323.01","211.35K","1.66%"
"05/25/2026","322.70","330.01","332.00","320.91","346.13K","-2.21%"
"05/24/2026","329.98","331.16","334.29","328.00","280.23K","-0.65%"
"05/21/2026","332.14","325.98","334.00","324.00","263.32K","2.67%"
"05/20/2026","323.51","326.00","335.00","323.50","615.20K","-0.46%"
"05/19/2026","325.00","320.00","325.50","318.00","215.03K","1.56%"
"05/18/2026","320.00","323.05","326.50","315.21","190.09K","-0.93%"
"05/17/2026","323.00","331.51","333.00","323.00","182.11K","-2.71%"
"05/14/2026","332.01","344.98","344.99","329.00","407.90K","-1.77%"
"05/13/2026","338.00","320.31","338.00","319.50","1.04M","6.62%"
"05/12/2026","317.00","304.98","319.00","304.00","847.78K","4.60%"
"05/11/2026","303.05","306.99","306.99","303.05","189.67K","-0.64%"
"05/10/2026","305.00","306.00","310.00","303.25","389.65K","2.14%"
"05/06/2026","298.60","304.15","306.50","295.00","588.74K","-2.04%"
"05/05/2026","304.81","296.10","305.00","296.01","172.72K","3.33%"
"05/04/2026","295.00","304.00","305.00","294.50","314.76K","-2.64%"
"05/03/2026","303.00","307.00","308.50","301.00","199.54K","-1.10%"
"04/30/2026","306.36","308.63","313.98","306.36","492.28K","-0.53%"
"04/29/2026","307.99","305.02","308.38","302.00","412.81K","1.15%"
"04/28/2026","304.50","303.99","308.80","302.00","241.95K","0.83%"
"04/27/2026","302.00","304.90","304.90","297.66","272.20K","-0.33%"
"04/26/2026","303.00","304.20","311.00","302.90","280.93K","0.00%"
"04/23/2026","303.00","294.99","304.10","294.99","474.76K","3.41%"
"04/22/2026","293.00","293.94","298.80","293.00","477.70K","0.00%"
"04/21/2026","293.00","301.00","301.00","290.01","726.74K","-2.33%"
"04/20/2026","299.99","301.40","303.70","295.50","247.88K","0.03%"
